,Simulation Data for Call Center,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Scenario,Description,"Number 
of Agents","Arrival Rate 
(calls/min)","Service 
Time 
(min per call)","Wait 
Threshold 
(min)","Simulation 
Duration (min)","Expected 
Behavior",Purpose of Scenario,"Number of 
Abandoned 
Calls"
1 – Base Case,Scenario 1: 3 agents handling calls with 0.3 calls/min arrival rate and 5 min service time.,3,0.3,5,5,120,Moderate wait times and manageable queue.,To set a baseline for comparison.,1
2 – More Agents,Scenario 2: 5 agents handling calls with 0.3 calls/min arrival rate and 5 min service time.,5,0.3,5,5,120,"Shorter waits, fewer abandoned calls.",To test the effect of adding agents.,0
3 – Busy System,Scenario 3: 3 agents handling calls with 0.5 calls/min arrival rate and 5 min service time.,3,0.5,5,5,120,"Long waits, more abandoned calls.",To simulate peak hour pressure.,4
Scenario 4,Scenario 4: 3 agents handling calls with 0.61 calls/min arrival rate and 4 min service time.,3,0.61,4,5,120,System is stable with low waiting time.,Test system under normal load,0
Scenario 5,Scenario 5: 8 agents handling calls with 0.54 calls/min arrival rate and 3 min service time.,8,0.54,3,5,120,System is stable with low waiting time.,Study impact of short waiting threshold,10
Scenario 6,Scenario 6: 2 agents handling calls with 0.38 calls/min arrival rate and 4 min service time.,2,0.38,4,5,120,System is stable with low waiting time.,Test call abandonment sensitivity,5
Scenario 7,Scenario 7: 7 agents handling calls with 0.28 calls/min arrival rate and 4 min service time.,7,0.28,4,5,120,System is stable with low waiting time.,Evaluate performance during busy hours,1
Scenario 8,Scenario 8: 2 agents handling calls with 0.21 calls/min arrival rate and 6 min service time.,2,0.21,6,5,120,System is stable with low waiting time.,Evaluate performance during busy hours,19
Scenario 9,Scenario 9: 8 agents handling calls with 0.3 calls/min arrival rate and 8 min service time.,8,0.3,8,5,120,System is stable with low waiting time.,Test system under normal load,10
Scenario 10,Scenario 10: 10 agents handling calls with 0.59 calls/min arrival rate and 5 min service time.,10,0.59,5,5,120,System is stable with low waiting time.,Study impact of short waiting threshold,16
Scenario 11,Scenario 11: 3 agents handling calls with 0.72 calls/min arrival rate and 4 min service time.,3,0.72,4,5,120,System is stable with low waiting time.,Analyze effect of reducing agents,20
Scenario 12,Scenario 12: 4 agents handling calls with 0.65 calls/min arrival rate and 5 min service time.,4,0.65,5,5,120,System is stable with low waiting time.,Check system response under overload,1
Scenario 13,Scenario 13: 7 agents handling calls with 0.49 calls/min arrival rate and 4 min service time.,7,0.49,4,5,120,System is stable with low waiting time.,Test call abandonment sensitivity,1
Scenario 14,Scenario 14: 10 agents handling calls with 0.67 calls/min arrival rate and 3 min service time.,10,0.67,3,5,120,System is stable with low waiting time.,Examine agent utilization rates,4
Scenario 15,Scenario 15: 7 agents handling calls with 0.38 calls/min arrival rate and 5 min service time.,7,0.38,5,5,120,System is stable with low waiting time.,Test system under normal load,3
Scenario 16,Scenario 16: 3 agents handling calls with 0.25 calls/min arrival rate and 4 min service time.,3,0.25,4,5,120,System is stable with low waiting time.,Check system response under overload,12
Scenario 17,Scenario 17: 8 agents handling calls with 0.5 calls/min arrival rate and 4 min service time.,8,0.5,4,5,120,System is stable with low waiting time.,Understand queue buildup under stress,18
Scenario 18,Scenario 18: 8 agents handling calls with 0.47 calls/min arrival rate and 7 min service time.,8,0.47,7,5,120,System is stable with low waiting time.,Analyze effect of reducing agents,14
Scenario 19,Scenario 19: 3 agents handling calls with 0.48 calls/min arrival rate and 5 min service time.,3,0.48,5,5,120,System is stable with low waiting time.,Assess call handling capacity,2
Scenario 20,Scenario 20: 2 agents handling calls with 0.38 calls/min arrival rate and 3 min service time.,2,0.38,3,5,120,System is stable with low waiting time.,Test system under normal load,5
Scenario 21,Scenario 21: 6 agents handling calls with 0.51 calls/min arrival rate and 4 min service time.,6,0.51,4,5,120,System is stable with low waiting time.,Assess call handling capacity,6
Scenario 22,Scenario 22: 2 agents handling calls with 0.23 calls/min arrival rate and 4 min service time.,2,0.23,4,5,120,System is stable with low waiting time.,Study impact of short waiting threshold,14
